iter	Passed	Remaining
0	95	95137
1	103	51687
2	107	35614
3	110	27509
4	113	22540
5	115	19153
6	118	16848
7	122	15169
8	124	13752
9	127	12623
10	129	11679
11	132	10889
12	135	10254
13	137	9666
14	139	9162
15	142	8781
16	145	8387
17	148	8080
18	150	7746
19	152	7474
20	155	7236
21	158	7030
22	161	6846
23	165	6714
24	167	6515
25	169	6341
26	172	6209
27	174	6074
28	177	5944
29	179	5810
30	180	5652
31	183	5546
32	185	5436
33	188	5343
34	190	5260
35	192	5166
36	195	5082
37	196	4975
38	198	4900
39	201	4837
40	203	4761
41	206	4709
42	209	4669
43	212	4626
44	215	4571
45	218	4528
46	221	4497
47	225	4463
48	226	4404
49	229	4351
50	230	4294
51	233	4252
52	236	4226
53	240	4220
54	247	4254
55	252	4248
56	254	4213
57	256	4167
58	258	4123
59	260	4080
60	262	4038
61	263	3989
62	266	3964
63	270	3951
64	272	3914
65	274	3882
66	277	3857
67	279	3831
68	282	3806
69	285	3794
70	289	3787
71	291	3761
72	294	3735
73	297	3726
74	302	3727
75	304	3704
76	307	3691
77	311	3679
78	314	3667
79	317	3653
80	319	3629
81	322	3607
82	326	3609
83	330	3606
84	334	3597
85	336	3580
86	338	3554
87	340	3530
88	343	3511
89	348	3522
90	350	3497
91	356	3516
92	359	3507
93	361	3488
94	365	3485
95	368	3471
96	371	3456
97	373	3439
98	377	3432
99	380	3425
100	382	3404
101	384	3387
102	386	3367
103	388	3349
104	391	3338
105	394	3326
106	396	3308
107	398	3291
108	400	3276
109	402	3258
110	404	3243
111	408	3235
112	410	3224
113	412	3209
114	415	3196
115	417	3184
116	420	3170
117	423	3165
118	426	3158
119	428	3142
120	430	3128
121	432	3113
122	434	3100
123	437	3091
124	440	3082
125	442	3067
126	444	3055
127	446	3042
128	448	3030
129	450	3018
130	454	3014
131	458	3013
132	460	3000
133	462	2991
134	464	2976
135	466	2962
136	468	2952
137	471	2942
138	474	2939
139	476	2928
140	479	2921
141	481	2909
142	483	2899
143	487	2895
144	493	2910
145	495	2900
146	497	2889
147	501	2886
148	505	2889
149	507	2878
150	511	2876
151	513	2866
152	517	2865
153	520	2859
154	522	2848
155	524	2840
156	527	2833
157	529	2822
158	532	2815
159	535	2812
160	539	2809
161	542	2804
162	544	2794
163	546	2784
164	551	2788
165	554	2783
166	556	2774
167	558	2765
168	561	2759
169	564	2756
170	566	2748
171	569	2742
172	571	2733
173	575	2730
174	578	2729
175	581	2723
176	584	2717
177	586	2709
178	590	2708
179	593	2701
180	596	2698
181	598	2691
182	601	2684
183	603	2676
184	605	2667
185	608	2661
186	611	2659
187	614	2655
188	618	2652
189	620	2644
190	622	2635
191	624	2627
192	627	2625
193	630	2621
194	633	2616
195	635	2608
196	638	2602
197	640	2594
198	644	2593
199	647	2588
200	649	2581
201	651	2574
202	653	2565
203	655	2558
204	658	2554
205	661	2548
206	664	2544
207	667	2542
208	670	2535
209	672	2528
210	675	2527
211	679	2524
212	682	2520
213	684	2513
214	686	2506
215	688	2500
216	691	2494
217	694	2491
218	696	2483
219	699	2478
220	701	2474
221	705	2472
222	707	2466
223	710	2459
224	712	2452
225	715	2449
226	716	2441
227	719	2437
228	723	2435
229	726	2431
230	728	2424
231	730	2418
232	732	2411
233	734	2405
234	738	2404
235	742	2402
236	744	2396
237	746	2390
238	748	2383
239	751	2378
240	753	2374
241	757	2371
242	758	2364
243	760	2357
244	763	2353
245	765	2345
246	768	2342
247	770	2336
248	772	2329
249	775	2325
250	777	2318
251	779	2313
252	781	2307
253	784	2303
254	787	2300
255	789	2295
256	792	2292
257	794	2286
258	796	2279
259	800	2277
260	803	2273
261	805	2268
262	807	2262
263	810	2258
264	812	2254
265	816	2252
266	818	2247
267	821	2243
268	823	2237
269	826	2235
270	830	2232
271	832	2228
272	835	2224
273	837	2219
274	840	2215
275	842	2209
276	843	2202
277	848	2203
278	850	2199
279	852	2193
280	854	2187
281	858	2186
282	861	2183
283	864	2178
284	868	2178
285	870	2174
286	874	2171
287	878	2170
288	881	2167
289	883	2163
290	886	2159
291	889	2156
292	894	2158
293	897	2154
294	899	2148
295	901	2144
296	903	2139
297	906	2134
298	908	2130
299	912	2128
300	914	2123
301	917	2120
302	919	2115
303	921	2110
304	924	2105
305	927	2103
306	929	2099
307	931	2093
308	934	2090
309	937	2087
310	941	2085
311	943	2081
312	946	2076
313	948	2071
314	951	2070
315	954	2066
316	957	2062
317	959	2058
318	962	2053
319	964	2049
320	966	2044
321	968	2038
322	970	2034
323	973	2031
324	976	2028
325	979	2024
326	981	2019
327	983	2014
328	985	2009
329	988	2006
330	991	2003
331	993	1998
332	995	1993
333	997	1989
334	999	1984
335	1002	1980
336	1005	1977
337	1007	1973
338	1010	1970
339	1013	1966
340	1016	1963
341	1018	1959
342	1020	1954
343	1023	1951
344	1025	1947
345	1027	1942
346	1030	1939
347	1032	1935
348	1036	1932
349	1039	1929
350	1041	1925
351	1043	1920
352	1044	1915
353	1046	1910
354	1050	1907
355	1054	1907
356	1056	1903
357	1058	1898
358	1061	1896
359	1066	1895
360	1069	1892
361	1071	1887
362	1072	1882
363	1074	1877
364	1077	1873
365	1078	1868
366	1082	1866
367	1084	1862
368	1087	1858
369	1089	1855
370	1092	1851
371	1093	1846
372	1096	1843
373	1099	1839
374	1101	1836
375	1103	1832
376	1106	1829
377	1109	1825
378	1112	1822
379	1115	1820
380	1119	1818
381	1120	1813
382	1122	1808
383	1125	1805
384	1129	1803
385	1131	1799
386	1133	1795
387	1135	1790
388	1137	1786
389	1140	1783
390	1142	1779
391	1145	1776
392	1148	1773
393	1150	1769
394	1152	1764
395	1154	1760
396	1156	1756
397	1159	1753
398	1162	1751
399	1164	1747
400	1166	1742
401	1168	1737
402	1170	1733
403	1171	1728
404	1174	1725
405	1178	1724
406	1180	1720
407	1182	1715
408	1184	1711
409	1186	1707
410	1188	1703
411	1193	1703
412	1196	1700
413	1200	1699
414	1206	1700
415	1211	1700
416	1216	1700
417	1218	1696
418	1222	1695
419	1226	1693
420	1229	1690
421	1232	1687
422	1234	1684
423	1237	1681
424	1243	1682
425	1247	1680
426	1250	1677
427	1253	1675
428	1257	1674
429	1261	1671
430	1264	1668
431	1266	1664
432	1268	1661
433	1273	1660
434	1276	1657
435	1280	1656
436	1283	1653
437	1288	1653
438	1291	1650
439	1294	1647
440	1296	1643
441	1300	1641
442	1304	1640
443	1307	1637
444	1310	1634
445	1312	1630
446	1315	1627
447	1318	1624
448	1320	1620
449	1323	1617
450	1326	1615
451	1331	1613
452	1333	1610
453	1337	1608
454	1339	1604
455	1342	1601
456	1344	1597
457	1348	1595
458	1353	1595
459	1355	1591
460	1358	1587
461	1360	1584
462	1364	1582
463	1369	1581
464	1371	1578
465	1374	1574
466	1377	1572
467	1381	1570
468	1384	1567
469	1387	1564
470	1390	1561
471	1392	1557
472	1397	1556
473	1400	1554
474	1403	1551
475	1406	1548
476	1410	1546
477	1414	1544
478	1417	1541
479	1420	1539
480	1423	1536
481	1429	1535
482	1431	1532
483	1435	1529
484	1438	1527
485	1441	1524
486	1445	1523
487	1451	1522
488	1454	1519
489	1461	1521
490	1465	1519
491	1469	1517
492	1473	1514
493	1476	1512
494	1480	1510
495	1483	1506
496	1485	1503
497	1491	1503
498	1496	1502
499	1498	1498
500	1501	1495
501	1506	1494
502	1509	1491
503	1511	1487
504	1515	1485
505	1517	1481
506	1519	1477
507	1523	1475
508	1527	1473
509	1529	1469
510	1532	1466
511	1534	1462
512	1537	1459
513	1539	1456
514	1542	1452
515	1545	1449
516	1547	1446
517	1550	1442
518	1552	1438
519	1556	1437
520	1558	1432
521	1560	1429
522	1563	1425
523	1567	1423
524	1570	1420
525	1572	1416
526	1574	1413
527	1578	1411
528	1583	1410
529	1586	1406
530	1588	1403
531	1592	1400
532	1594	1397
533	1596	1393
534	1600	1391
535	1604	1389
536	1608	1386
537	1610	1383
538	1616	1382
539	1620	1380
540	1623	1377
541	1625	1373
542	1629	1371
543	1633	1368
544	1635	1365
545	1638	1362
546	1640	1358
547	1644	1356
548	1647	1353
549	1652	1351
550	1654	1347
551	1656	1344
552	1658	1340
553	1661	1337
554	1663	1333
555	1667	1331
556	1669	1328
557	1672	1324
558	1677	1323
559	1681	1321
560	1683	1317
561	1686	1314
562	1689	1311
563	1692	1308
564	1694	1304
565	1698	1302
566	1700	1298
567	1703	1295
568	1706	1292
569	1711	1291
570	1713	1287
571	1717	1285
572	1720	1281
573	1722	1278
574	1726	1275
575	1729	1272
576	1730	1268
577	1732	1264
578	1735	1261
579	1741	1260
580	1744	1258
581	1747	1254
582	1749	1251
583	1752	1248
584	1755	1245
585	1758	1242
586	1760	1238
587	1763	1235
588	1765	1232
589	1767	1228
590	1772	1226
591	1774	1223
592	1777	1220
593	1779	1216
594	1780	1212
595	1783	1209
596	1786	1206
597	1788	1202
598	1792	1199
599	1794	1196
600	1797	1193
601	1799	1189
602	1803	1187
603	1805	1183
604	1807	1179
605	1809	1176
606	1812	1173
607	1816	1170
608	1819	1168
609	1821	1164
610	1823	1160
611	1831	1161
612	1834	1158
613	1836	1154
614	1838	1150
615	1841	1147
616	1843	1144
617	1845	1141
618	1849	1138
619	1853	1136
620	1855	1132
621	1858	1129
622	1860	1125
623	1862	1122
624	1867	1120
625	1869	1117
626	1871	1113
627	1873	1109
628	1875	1106
629	1880	1104
630	1883	1101
631	1884	1097
632	1886	1093
633	1888	1090
634	1891	1087
635	1893	1083
636	1896	1080
637	1898	1077
638	1900	1073
639	1902	1069
640	1904	1066
641	1906	1063
642	1908	1059
643	1911	1056
644	1913	1053
645	1916	1049
646	1917	1046
647	1919	1042
648	1921	1039
649	1923	1035
650	1926	1032
651	1930	1030
652	1932	1027
653	1934	1023
654	1936	1020
655	1938	1016
656	1940	1013
657	1944	1010
658	1946	1007
659	1948	1003
660	1951	1000
661	1955	998
662	1958	995
663	1961	992
664	1963	989
665	1965	985
666	1968	982
667	1971	979
668	1974	977
669	1978	974
670	1979	970
671	1980	966
672	1982	963
673	1985	960
674	1988	957
675	1992	954
676	1994	951
677	1997	948
678	1999	945
679	2003	942
680	2007	940
681	2010	937
682	2012	933
683	2014	930
684	2016	927
685	2020	924
686	2022	921
687	2025	918
688	2028	915
689	2031	912
690	2034	909
691	2036	906
692	2039	903
693	2041	900
694	2044	897
695	2046	893
696	2048	890
697	2051	887
698	2055	885
699	2057	881
700	2060	878
701	2065	876
702	2068	874
703	2070	870
704	2072	867
705	2073	863
706	2077	860
707	2079	857
708	2083	855
709	2085	851
710	2088	848
711	2090	845
712	2092	842
713	2093	838
714	2096	835
715	2100	832
716	2101	829
717	2103	826
718	2105	822
719	2107	819
720	2109	816
721	2111	813
722	2114	809
723	2116	806
724	2118	803
725	2120	800
726	2122	796
727	2125	794
728	2128	791
729	2131	788
730	2133	785
731	2136	782
732	2138	779
733	2141	775
734	2143	772
735	2146	770
736	2148	766
737	2150	763
738	2155	761
739	2158	758
740	2161	755
741	2164	752
742	2166	749
743	2168	746
744	2171	743
745	2173	739
746	2177	737
747	2179	734
748	2181	730
749	2182	727
750	2184	724
751	2186	720
752	2188	717
753	2191	714
754	2193	711
755	2195	708
756	2198	705
757	2200	702
758	2202	699
759	2204	696
760	2207	693
761	2210	690
762	2212	687
763	2217	684
764	2219	681
765	2222	679
766	2225	676
767	2228	673
768	2230	669
769	2233	667
770	2235	663
771	2239	661
772	2242	658
773	2243	655
774	2246	652
775	2248	648
776	2251	646
777	2254	643
778	2258	640
779	2259	637
780	2261	634
781	2263	631
782	2265	627
783	2267	624
784	2270	621
785	2273	618
786	2275	615
787	2277	612
788	2279	609
789	2280	606
790	2282	603
791	2285	600
792	2288	597
793	2291	594
794	2293	591
795	2295	588
796	2296	584
797	2298	581
798	2300	578
799	2304	576
800	2306	572
801	2308	569
802	2311	567
803	2315	564
804	2317	561
805	2319	558
806	2321	555
807	2323	552
808	2325	549
809	2328	546
810	2331	543
811	2334	540
812	2336	537
813	2339	534
814	2342	531
815	2344	528
816	2348	525
817	2350	522
818	2352	519
819	2354	516
820	2356	513
821	2357	510
822	2359	507
823	2363	504
824	2365	501
825	2368	498
826	2370	495
827	2372	492
828	2374	489
829	2377	486
830	2380	484
831	2382	481
832	2384	477
833	2385	474
834	2388	471
835	2391	469
836	2394	466
837	2396	463
838	2398	460
839	2400	457
840	2402	454
841	2404	451
842	2406	448
843	2409	445
844	2411	442
845	2414	439
846	2416	436
847	2418	433
848	2420	430
849	2422	427
850	2425	424
851	2427	421
852	2430	418
853	2432	415
854	2435	412
855	2437	410
856	2439	407
857	2441	404
858	2443	401
859	2445	398
860	2447	395
861	2449	392
862	2451	389
863	2454	386
864	2456	383
865	2458	380
866	2460	377
867	2462	374
868	2465	371
869	2468	368
870	2470	365
871	2472	362
872	2475	360
873	2476	357
874	2478	354
875	2480	351
876	2482	348
877	2483	345
878	2486	342
879	2491	339
880	2494	336
881	2496	333
882	2498	331
883	2499	328
884	2502	325
885	2504	322
886	2506	319
887	2508	316
888	2511	313
889	2512	310
890	2514	307
891	2516	304
892	2519	301
893	2521	298
894	2523	295
895	2524	293
896	2527	290
897	2529	287
898	2531	284
899	2534	281
900	2538	278
901	2540	276
902	2542	273
903	2544	270
904	2545	267
905	2547	264
906	2550	261
907	2553	258
908	2555	255
909	2557	252
910	2559	250
911	2561	247
912	2564	244
913	2566	241
914	2569	238
915	2570	235
916	2572	232
917	2574	229
918	2577	227
919	2581	224
920	2583	221
921	2585	218
922	2587	215
923	2590	213
924	2593	210
925	2597	207
926	2600	204
927	2602	201
928	2604	199
929	2606	196
930	2608	193
931	2611	190
932	2614	187
933	2618	185
934	2620	182
935	2622	179
936	2624	176
937	2628	173
938	2631	170
939	2633	168
940	2635	165
941	2637	162
942	2639	159
943	2640	156
944	2644	153
945	2647	151
946	2649	148
947	2651	145
948	2653	142
949	2655	139
950	2658	136
951	2659	134
952	2664	131
953	2666	128
954	2669	125
955	2671	122
956	2678	120
957	2680	117
958	2683	114
959	2686	111
960	2689	109
961	2691	106
962	2692	103
963	2694	100
964	2695	97
965	2697	94
966	2700	92
967	2702	89
968	2704	86
969	2705	83
970	2708	80
971	2711	78
